StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q9,Q8,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you use the internet or web-based services at least once per day?,Does your work or education require that you use the internet?,Is data privacy important to you?,Have you ever read a website privacy policy in its entirety?,"Do you typically read website privacy policies, including updates to privacy policies?",Why do you not typically read website privacy policies? Select all that apply.,How often do you change your online behavior in response to the content of a website's privacy policy?,Do website data breaches concern you?,Have you ever been affected by a website data breach?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID6""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4""}"
2020-04-29 17:19:14,2020-04-29 17:19:21,IP Address,100,7,True,2020-04-29 17:19:22,R_2eWOjYinolFzhIR,anonymous,EN,No,,,,,,,,
2020-04-29 17:18:28,2020-04-29 17:19:24,IP Address,100,55,True,2020-04-29 17:19:24,R_1HqLb7VDPQmR16u,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are confusing",,Yes,I don't know
2020-04-29 17:19:39,2020-04-29 17:20:36,IP Address,100,57,True,2020-04-29 17:20:36,R_32XxTAGxOpClZ32,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are uninformative",,Yes,I don't know
2020-04-29 17:23:19,2020-04-29 17:23:59,IP Address,100,40,True,2020-04-29 17:24:00,R_3WVsphopd8klRpT,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-29 17:24:16,2020-04-29 17:24:48,IP Address,100,31,True,2020-04-29 17:24:48,R_2wvFuSR9UwvTY82,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Web privacy does not concern me,Privacy policies are uninformative",,Yes,I don't know
2020-04-29 17:24:42,2020-04-29 17:25:11,IP Address,100,29,True,2020-04-29 17:25:12,R_2Sp0X1oq9R21TIJ,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,I don't know
2020-04-29 17:24:36,2020-04-29 17:26:04,IP Address,100,87,True,2020-04-29 17:26:04,R_Q0M4624gZpZgOtP,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,No
2020-04-29 17:25:17,2020-04-29 17:26:05,IP Address,100,48,True,2020-04-29 17:26:06,R_2dKr1qGWfaWBHNo,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-29 17:28:03,2020-04-29 17:29:31,IP Address,100,88,True,2020-04-29 17:29:31,R_pcJa03dhp91gIU1,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,I don't know
2020-04-29 17:32:54,2020-04-29 17:33:41,IP Address,100,46,True,2020-04-29 17:33:41,R_3lWuMedx9kjmsHW,anonymous,EN,Yes,No,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,Yes
2020-04-29 17:33:04,2020-04-29 17:34:27,IP Address,100,82,True,2020-04-29 17:34:27,R_1KdSZ9aQHZ9v24R,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are confusing,Privacy policies are uninformative",,Yes,Yes
2020-04-29 17:36:45,2020-04-29 17:37:29,IP Address,100,43,True,2020-04-29 17:37:29,R_T4M7fYwA9Ec1FZf,anonymous,EN,Yes,Yes,Yes,Yes,No,Other,,Yes,I don't know
2020-04-29 17:37:47,2020-04-29 17:38:11,IP Address,100,24,True,2020-04-29 17:38:12,R_UbbaNz1y4PVVG5H,anonymous,EN,Yes,Yes,Yes,No,No,Privacy policies are too long,,Yes,No
2020-04-29 17:37:02,2020-04-29 17:38:15,IP Address,100,73,True,2020-04-29 17:38:16,R_3ps8UauxrSiD4TX,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,No,I don't know
2020-04-29 17:37:56,2020-04-29 17:38:50,IP Address,100,53,True,2020-04-29 17:38:50,R_d0Vw9uZJIbCdOmZ,anonymous,EN,Yes,Yes,Yes,Yes,No,I don't have time to read all the privacy policies I encounter,,Yes,Yes
2020-04-29 17:39:39,2020-04-29 17:40:34,IP Address,100,54,True,2020-04-29 17:40:34,R_3jeqCmK2rHmDyx8,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,I don't know
2020-04-29 17:42:25,2020-04-29 17:42:48,IP Address,100,22,True,2020-04-29 17:42:48,R_1DG57Ih5Mewyk6u,anonymous,EN,Yes,Yes,Yes,No,No,Privacy policies are too long,,Yes,Yes
